paper_title,doi,des_id,des_system_key,des_hba_std,des_hbd_std,molar_ratio,hba_canonical_component,hba_canonical_smiles,hbd_canonical_component,hbd_canonical_smiles,ratio_hba_part,ratio_hbd_part,ratio_hba_fraction,ratio_hbd_fraction,ratio_hba_to_hbd,analyte,analyte_normalized_name,analyte_smiles,cluster,matrix,technique,recovery,lod,ef,is_optimal,was_inferior,all_parse_ok,analyte_hba,analyte_hbd,analyte_heavyatoms,analyte_logp,analyte_molwt,analyte_parse_ok,analyte_ringcount,analyte_rotbonds,analyte_tpsa,des_hba_absdiff,des_hba_wmean,des_hbd_absdiff,des_hbd_wmean,des_heavyatoms_absdiff,des_heavyatoms_wmean,des_logp_absdiff,des_logp_wmean,des_molwt_absdiff,des_molwt_wmean,des_ringcount_absdiff,des_ringcount_wmean,des_rotbonds_absdiff,des_rotbonds_wmean,des_tpsa_absdiff,des_tpsa_wmean,hba_descriptor_eligible_phase1,hba_hba,hba_hbd,hba_heavyatoms,hba_logp,hba_molwt,hba_parse_ok,hba_ringcount,hba_rotbonds,hba_tpsa,hbd_descriptor_eligible_phase1,hbd_hba,hbd_hbd,hbd_heavyatoms,hbd_logp,hbd_molwt,hbd_parse_ok,hbd_ringcount,hbd_rotbonds,hbd_tpsa,pair_hba_absdiff,pair_hba_product,pair_hba_ratio,pair_hbd_absdiff,pair_hbd_product,pair_hbd_ratio,pair_hbond_acceptor_donor_product,pair_hbond_balance_absdiff,pair_hbond_complement_sum,pair_hbond_donor_acceptor_product,pair_heavyatoms_absdiff,pair_heavyatoms_product,pair_heavyatoms_ratio,pair_logp_absdiff,pair_logp_match_binary,pair_logp_product,pair_logp_ratio,pair_molwt_absdiff,pair_molwt_product,pair_molwt_ratio,pair_ringcount_absdiff,pair_ringcount_product,pair_ringcount_ratio,pair_rotbonds_absdiff,pair_rotbonds_product,pair_rotbonds_ratio,pair_tpsa_absdiff,pair_tpsa_match_binary,pair_tpsa_product,pair_tpsa_ratio,ratio_parse_ok
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Diazinon,Diazinon,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,4,Biological,Deep eutectic solvent based solidification of organic droplets liquid microextraction (DES-SOD-LPME),86.0,0.04,86.0,True,False,True,6,0,19,3.5847200000000026,304.35200000000003,True,1,7,53.47,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,5.0,6.0,6.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,8.25,204.25,1.7674418604651163,1.4266700000000019,1,7.736004996000008,1.6610921897083022,153.11275000000006,46029.968215999994,2.0123876573045694,0.0,1.0,1.0,5.75,8.75,5.6,28.9725,0,1309.8813249999998,2.1826717011939993,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Prometryn,Prometryn,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,2,Biological,DES-SOD-LPME,91.0,0.065,91.0,True,False,True,6,2,16,2.2340999999999998,241.364,True,1,5,62.730000000000004,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,5.0,6.0,6.0,1.0,2.0,2.0,6.0,6.0,8.0,2.0,5.25,172.0,1.4883720930232558,0.07604999999999906,1,4.821299505000001,1.0352401473552508,90.12475000000003,36503.710337,1.5959084695275867,0.0,1.0,1.0,3.75,6.25,4.0,38.2325,0,1536.728175,2.560669456066946,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Terbutryn,Terbutryn,CCNC1=NC(=NC(=N1)SC)NC(C)(C)C,2,Biological,DES-SOD-LPME,89.0,0.045,89.0,True,False,True,6,2,16,2.2356999999999996,241.364,True,1,4,62.730000000000004,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,5.0,6.0,6.0,1.0,2.0,2.0,6.0,6.0,8.0,2.0,5.25,172.0,1.4883720930232558,0.07764999999999889,1,4.824752385000001,1.0359815574245261,90.12475000000003,36503.710337,1.5959084695275867,0.0,1.0,1.0,2.75,5.0,3.2,38.2325,0,1536.728175,2.560669456066946,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Bifenthrin,Bifenthrin,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl,6,Biological,DES-SOD-LPME,79.0,0.055,79.0,True,False,True,2,0,29,6.6624200000000044,422.874,True,3,5,26.3,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,18.25,311.75,2.697674418604651,4.504370000000003,0,14.377835481000014,3.087240796089063,271.63475000000005,63955.14660449999,2.796059885248043,2.0,3.0,3.0,3.75,6.25,4.0,1.802500000000002,1,644.2842499999999,1.0735789366261865,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Fenpropathrin,Fenpropathrin,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,6,Biological,DES-SOD-LPME,91.0,0.085,91.0,True,False,True,4,0,26,5.268980000000004,349.4300000000001,True,3,5,59.32000000000001,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,3.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,15.25,279.5,2.4186046511627906,3.1109300000000037,0,11.370722289000014,2.4415467667570274,198.19075000000015,52847.531127500006,2.3104452051964035,2.0,3.0,3.0,3.75,6.25,4.0,34.822500000000005,0,1453.1917,2.421471578732524,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Bromopropylate,Bromopropylate,CC(C)OC(=O)C(C1=CC=C(C=C1)Br)(C2=CC=C(C=C2)Br)O,0,Biological,DES-SOD-LPME,96.0,0.01,96.0,True,False,True,3,1,22,4.399100000000004,428.12000000000006,True,2,4,46.53,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,2.0,3.0,3.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,11.25,236.5,2.046511627906977,2.2410500000000035,0,9.493477755000011,2.038460647343668,276.8807500000001,64748.54771,2.830746648108875,1.0,2.0,2.0,2.75,5.0,3.2,22.032500000000002,0,1139.868675,1.8993774874987246,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Fenamiphos-sulfone,Fenamiphos-sulfone,CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)S(=O)(=O)C)C,4,Biological,DES-SOD-LPME,94.0,0.02,94.0,True,False,True,5,1,21,2.919920000000001,335.3620000000001,True,1,7,81.69999999999999,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,4.0,5.0,5.0,0.0,1.0,1.0,5.0,4.0,6.0,1.0,10.25,225.75,1.9534883720930232,0.7618700000000005,1,6.301333356000004,1.35303630592433,184.1227500000001,50719.8973585,2.2174270237388782,0.0,1.0,1.0,5.75,8.75,5.6,57.202499999999986,0,2001.4457499999996,3.335034187161955,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Phosalone,Phosalone,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O,4,Biological,DES-SOD-LPME,82.0,0.045,82.0,True,False,True,6,0,21,4.236100000000003,367.8160000000001,True,2,7,53.6,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,5.0,6.0,6.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,10.25,225.75,1.9534883720930232,2.0780500000000024,0,9.141715605000009,1.9629294965362256,216.57675000000012,55628.215978,2.4320141762141785,1.0,2.0,2.0,5.75,8.75,5.6,29.102500000000003,0,1313.066,2.1879783651393,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Fenvalerate,Fenvalerate,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,6,Biological,DES-SOD-LPME,88.0,0.085,88.0,True,False,True,4,0,30,6.679980000000006,419.90800000000013,True,3,7,59.32000000000001,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,3.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,19.25,322.5,2.7906976744186047,4.521930000000005,0,14.415730839000018,3.0953777715993622,268.66875000000016,63506.57098900001,2.776448574030883,2.0,3.0,3.0,5.75,8.75,5.6,34.822500000000005,0,1453.1917,2.421471578732524,True
Deep eutectic solvent based solidification of organic droplets-liquid phase microextraction; application to determination of some pesticides in farmers saliva and exhaled breath condensate samples,10.1039/c8ay02279h,Menthol_Phenylacetic acid_03:01,Menthol || Phenylacetic acid || 03:01,Menthol,Phenylacetic acid,03:01,menthol,CC1CCC(C(C1)O)C(C)C,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,3.0,1.0,0.75,0.25,3.0,Deltamethrin,Deltamethrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,6,Biological,DES-SOD-LPME,97.0,0.025,97.0,True,False,True,4,0,28,6.490180000000004,505.2060000000001,True,3,6,59.32000000000001,0,1.0,0,1.0,1,10.75,1.1258000000000006,2.1580500000000007,20.119,151.23924999999997,0,1.0,1,1.25,17.069999999999997,24.4975,True,1,1,11,2.4395000000000007,156.26899999999998,True,1,1,20.23,True,1,1,10,1.3137,136.14999999999998,True,1,2,37.3,3.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,17.25,301.0,2.604651162790698,4.332130000000003,0,14.006132949000014,3.007428002131555,353.9667500000001,76406.9765355,3.3404423785492203,2.0,3.0,3.0,4.75,7.5,4.8,34.822500000000005,0,1453.1917,2.421471578732524,True
