column_name,dtype,n_missing
paper_title,object,0
doi,object,0
des_id,object,0
des_system_key,object,0
des_hba_std,object,0
des_hbd_std,object,0
molar_ratio,object,0
hba_canonical_component,object,0
hba_canonical_smiles,object,0
hbd_canonical_component,object,0
hbd_canonical_smiles,object,0
ratio_hba_part,float64,0
ratio_hbd_part,float64,0
ratio_hba_fraction,float64,0
ratio_hbd_fraction,float64,0
ratio_hba_to_hbd,float64,0
analyte,object,0
analyte_normalized_name,object,0
analyte_smiles,object,0
cluster,int64,0
matrix,object,13
technique,object,0
recovery,float64,62
lod,float64,142
ef,float64,371
is_optimal,bool,0
was_inferior,bool,0
all_parse_ok,bool,0
analyte_hba,int64,0
analyte_hbd,int64,0
analyte_heavyatoms,int64,0
analyte_logp,float64,0
analyte_molwt,float64,0
analyte_parse_ok,bool,0
analyte_ringcount,int64,0
analyte_rotbonds,int64,0
analyte_tpsa,float64,0
des_hba_absdiff,int64,0
des_hba_wmean,float64,0
des_hbd_absdiff,int64,0
des_hbd_wmean,float64,0
des_heavyatoms_absdiff,int64,0
des_heavyatoms_wmean,float64,0
des_logp_absdiff,float64,0
des_logp_wmean,float64,0
des_molwt_absdiff,float64,0
des_molwt_wmean,float64,0
des_ringcount_absdiff,int64,0
des_ringcount_wmean,float64,0
des_rotbonds_absdiff,int64,0
des_rotbonds_wmean,float64,0
des_tpsa_absdiff,float64,0
des_tpsa_wmean,float64,0
hba_descriptor_eligible_phase1,bool,0
hba_hba,int64,0
hba_hbd,int64,0
hba_heavyatoms,int64,0
hba_logp,float64,0
hba_molwt,float64,0
hba_parse_ok,bool,0
hba_ringcount,int64,0
hba_rotbonds,int64,0
hba_tpsa,float64,0
hbd_descriptor_eligible_phase1,bool,0
hbd_hba,int64,0
hbd_hbd,int64,0
hbd_heavyatoms,int64,0
hbd_logp,float64,0
hbd_molwt,float64,0
hbd_parse_ok,bool,0
hbd_ringcount,int64,0
hbd_rotbonds,int64,0
hbd_tpsa,float64,0
pair_hba_absdiff,float64,0
pair_hba_product,float64,0
pair_hba_ratio,float64,0
pair_hbd_absdiff,float64,0
pair_hbd_product,float64,0
pair_hbd_ratio,float64,0
pair_hbond_acceptor_donor_product,float64,0
pair_hbond_balance_absdiff,float64,0
pair_hbond_complement_sum,float64,0
pair_hbond_donor_acceptor_product,float64,0
pair_heavyatoms_absdiff,float64,0
pair_heavyatoms_product,float64,0
pair_heavyatoms_ratio,float64,0
pair_logp_absdiff,float64,0
pair_logp_match_binary,int64,0
pair_logp_product,float64,0
pair_logp_ratio,float64,0
pair_molwt_absdiff,float64,0
pair_molwt_product,float64,0
pair_molwt_ratio,float64,0
pair_ringcount_absdiff,float64,0
pair_ringcount_product,float64,0
pair_ringcount_ratio,float64,263
pair_rotbonds_absdiff,float64,0
pair_rotbonds_product,float64,0
pair_rotbonds_ratio,float64,0
pair_tpsa_absdiff,float64,0
pair_tpsa_match_binary,int64,0
pair_tpsa_product,float64,0
pair_tpsa_ratio,float64,0
ratio_parse_ok,bool,0
