feature,missing_fraction_train,drop_reason,retained_final
ratio_hba_part,0.0,keep_after_missingness,True
ratio_hbd_part,0.0,keep_after_missingness,True
ratio_hba_fraction,0.0,keep_after_missingness,True
ratio_hbd_fraction,0.0,drop_high_correlation,False
ratio_hba_to_hbd,0.0,keep_after_missingness,True
analyte_hba,0.0,keep_after_missingness,True
analyte_hbd,0.0,keep_after_missingness,True
analyte_heavyatoms,0.0,keep_after_missingness,True
analyte_logp,0.0,keep_after_missingness,True
analyte_molwt,0.0,keep_after_missingness,True
analyte_ringcount,0.0,keep_after_missingness,True
analyte_rotbonds,0.0,keep_after_missingness,True
analyte_tpsa,0.0,keep_after_missingness,True
des_hba_absdiff,0.0,keep_after_missingness,True
des_hba_wmean,0.0,keep_after_missingness,True
des_hbd_absdiff,0.0,keep_after_missingness,True
des_hbd_wmean,0.0,keep_after_missingness,True
des_heavyatoms_absdiff,0.0,keep_after_missingness,True
des_heavyatoms_wmean,0.0,keep_after_missingness,True
des_logp_absdiff,0.0,keep_after_missingness,True
des_logp_wmean,0.0,keep_after_missingness,True
des_molwt_absdiff,0.0,drop_high_correlation,False
des_molwt_wmean,0.0,drop_high_correlation,False
des_ringcount_absdiff,0.0,keep_after_missingness,True
des_ringcount_wmean,0.0,keep_after_missingness,True
des_rotbonds_absdiff,0.0,keep_after_missingness,True
des_rotbonds_wmean,0.0,keep_after_missingness,True
des_tpsa_absdiff,0.0,keep_after_missingness,True
des_tpsa_wmean,0.0,keep_after_missingness,True
hba_hba,0.0,keep_after_missingness,True
hba_hbd,0.0,keep_after_missingness,True
hba_heavyatoms,0.0,keep_after_missingness,True
hba_logp,0.0,keep_after_missingness,True
hba_molwt,0.0,drop_high_correlation,False
hba_ringcount,0.0,keep_after_missingness,True
hba_rotbonds,0.0,keep_after_missingness,True
hba_tpsa,0.0,keep_after_missingness,True
hbd_hba,0.0,keep_after_missingness,True
hbd_hbd,0.0,keep_after_missingness,True
hbd_heavyatoms,0.0,keep_after_missingness,True
hbd_logp,0.0,keep_after_missingness,True
hbd_molwt,0.0,drop_high_correlation,False
hbd_ringcount,0.0,keep_after_missingness,True
hbd_rotbonds,0.0,keep_after_missingness,True
hbd_tpsa,0.0,keep_after_missingness,True
pair_hba_absdiff,0.0,keep_after_missingness,True
pair_hba_product,0.0,keep_after_missingness,True
pair_hba_ratio,0.0,keep_after_missingness,True
pair_hbd_absdiff,0.0,keep_after_missingness,True
pair_hbd_product,0.0,keep_after_missingness,True
pair_hbd_ratio,0.0,keep_after_missingness,True
pair_hbond_acceptor_donor_product,0.0,keep_after_missingness,True
pair_hbond_balance_absdiff,0.0,keep_after_missingness,True
pair_hbond_complement_sum,0.0,keep_after_missingness,True
pair_hbond_donor_acceptor_product,0.0,keep_after_missingness,True
pair_heavyatoms_absdiff,0.0,keep_after_missingness,True
pair_heavyatoms_product,0.0,keep_after_missingness,True
pair_heavyatoms_ratio,0.0,keep_after_missingness,True
pair_logp_absdiff,0.0,keep_after_missingness,True
pair_logp_match_binary,0.0,keep_after_missingness,True
pair_logp_product,0.0,keep_after_missingness,True
pair_logp_ratio,0.0,keep_after_missingness,True
pair_molwt_absdiff,0.0,keep_after_missingness,True
pair_molwt_product,0.0,keep_after_missingness,True
pair_molwt_ratio,0.0,keep_after_missingness,True
pair_ringcount_absdiff,0.0,keep_after_missingness,True
pair_ringcount_product,0.0,keep_after_missingness,True
pair_ringcount_ratio,0.3260135135135135,drop_high_missingness,False
pair_rotbonds_absdiff,0.0,keep_after_missingness,True
pair_rotbonds_product,0.0,keep_after_missingness,True
pair_rotbonds_ratio,0.0,keep_after_missingness,True
pair_tpsa_absdiff,0.0,keep_after_missingness,True
pair_tpsa_match_binary,0.0,keep_after_missingness,True
pair_tpsa_product,0.0,keep_after_missingness,True
pair_tpsa_ratio,0.0,keep_after_missingness,True
