doi,analyte,des_system_key,is_optimal,heuristic_primary_score,heuristic_tpsa_score,heuristic_hbond_balance_score,rank_heuristic
10.1002/ansa.70039,Imidacloprid,Choline chloride || Salicylic acid || 01:01,False,1.7982499999999983,44.78,2.0,1
10.1002/ansa.70039,Imidacloprid,Choline chloride || Thymol || 02:01,False,1.9539599999999973,63.42999999999999,2.0,2
10.1002/ansa.70039,Imidacloprid,Menthol || Thymol || 01:02,True,2.0079466666666685,63.42999999999999,2.0,3
10.1002/ansa.70039,Imidacloprid,Choline chloride || Urea || 02:01,False,3.2206999999999977,47.13666666666666,1.6666666666666667,4
10.1002/jssc.201901000,"2,4-D",Choline chloride || n-butyric acid || 01:02,True,2.979766666666665,14.920000000000002,1.0,1
10.1002/jssc.201901000,Dalapon,Choline chloride || n-butyric acid || 01:02,True,1.7877666666666658,5.689999999999998,0.0,1
10.1002/jssc.201901000,Fenoxaprop,Choline chloride || n-butyric acid || 01:02,True,4.648366666666668,50.18000000000001,4.0,1
10.1002/jssc.201901000,Haloxyfop,Choline chloride || n-butyric acid || 01:02,True,4.920966666666668,37.040000000000006,3.0,1
10.1002/jssc.201901000,MCPA,Choline chloride || n-butyric acid || 01:02,True,2.634786666666665,14.920000000000002,1.0,1
10.1002/jssc.202200236,Ametryn,Menthol || Octanol || 01:01,True,0.5437500000000015,42.5,6.0,1
10.1002/jssc.202200236,Atrazine,Menthol || Octanol || 01:01,True,0.6122500000000015,42.5,5.0,1
10.1002/jssc.202200236,Cyanazine,Menthol || Octanol || 01:01,True,0.7184700000000015,66.29,6.0,1
10.1002/jssc.202200236,Propazine,Menthol || Octanol || 01:01,True,0.2237500000000016,42.5,5.0,1
10.1002/jssc.202200236,Simazine,Menthol || Octanol || 01:01,True,1.0007500000000014,42.5,5.0,1
10.1002/sscp.202200140,Ametoctradin,Choline chloride || Ethylene glycol || 01:02,True,4.9616,35.383333333333326,3.0,1
