repeat_id,all_Hit@1,all_Hit@3,all_MRR,ge2_Hit@1,ge2_Hit@3,ge2_MRR,ge3_Hit@1,ge3_Hit@3,ge3_MRR
0,0.9411764705882353,0.9663865546218487,0.9590336134453783,0.125,0.5,0.390625,0.16666666666666666,0.3333333333333333,0.3541666666666667
1,0.9663865546218487,0.9915966386554622,0.9775910364145658,0.5,0.875,0.6666666666666666,0.5,0.8333333333333334,0.6388888888888888
2,0.9495798319327731,0.9915966386554622,0.9716386554621849,0.25,0.875,0.578125,0.16666666666666666,0.8333333333333334,0.5208333333333334
3,0.9411764705882353,0.9831932773109243,0.9623249299719888,0.125,0.75,0.4395833333333333,0.0,0.6666666666666666,0.3361111111111111
4,0.9663865546218487,0.9747899159663865,0.9741596638655462,0.5,0.625,0.615625,0.3333333333333333,0.5,0.48750000000000004
5,0.9411764705882353,0.9747899159663865,0.9599439775910364,0.125,0.625,0.4041666666666667,0.0,0.5,0.28888888888888886
6,0.9495798319327731,0.9831932773109243,0.9695378151260504,0.25,0.75,0.546875,0.3333333333333333,0.6666666666666666,0.5625
7,0.9495798319327731,0.9831932773109243,0.969421101774043,0.25,0.75,0.5451388888888888,0.0,0.6666666666666666,0.39351851851851855
8,0.9495798319327731,0.9915966386554622,0.9702380952380952,0.25,0.875,0.5572916666666667,0.3333333333333333,0.8333333333333334,0.576388888888889
9,0.9495798319327731,0.9747899159663865,0.9644357743097238,0.25,0.625,0.4709821428571428,0.0,0.5,0.29464285714285715
10,0.9495798319327731,0.9915966386554622,0.9663865546218486,0.25,0.875,0.49999999999999994,0.16666666666666666,0.8333333333333334,0.4166666666666667
11,0.9411764705882353,0.9747899159663865,0.9597672402294251,0.125,0.625,0.4015376984126984,0.16666666666666666,0.5,0.3687169312169312
12,0.9831932773109243,0.9915966386554622,0.9876750700280111,0.75,0.875,0.8166666666666667,0.6666666666666666,0.8333333333333334,0.7555555555555555
13,0.9327731092436975,0.9663865546218487,0.9535814325730292,0.0,0.5,0.30952380952380953,0.0,0.3333333333333333,0.24603174603174602
14,0.9411764705882353,0.9663865546218487,0.9576563958916902,0.125,0.5,0.37013888888888885,0.16666666666666666,0.3333333333333333,0.3268518518518519
15,0.9495798319327731,0.9831932773109243,0.9681372549019608,0.25,0.75,0.5260416666666666,0.16666666666666666,0.6666666666666666,0.45138888888888884
16,0.9327731092436975,0.9831932773109243,0.9584833933573428,0.0,0.75,0.38244047619047616,0.0,0.6666666666666666,0.3432539682539682
17,0.9495798319327731,0.9747899159663865,0.9638855542216885,0.25,0.625,0.462797619047619,0.0,0.5,0.28373015873015867
18,0.9411764705882353,0.9747899159663865,0.9603341336534613,0.125,0.625,0.409970238095238,0.16666666666666666,0.5,0.37996031746031744
19,0.9411764705882353,0.9915966386554622,0.9652661064425769,0.125,0.875,0.4833333333333333,0.16666666666666666,0.8333333333333334,0.4777777777777778
20,0.9495798319327731,0.9831932773109243,0.967436974789916,0.25,0.75,0.515625,0.3333333333333333,0.6666666666666666,0.5208333333333334
21,0.9495798319327731,0.9747899159663865,0.965486194477791,0.25,0.625,0.48660714285714285,0.0,0.5,0.31547619047619047
22,0.9495798319327731,0.9747899159663865,0.9656862745098039,0.25,0.625,0.4895833333333333,0.16666666666666666,0.5,0.40277777777777773
23,0.9495798319327731,0.9747899159663865,0.9660300483829897,0.25,0.625,0.4946969696969697,0.16666666666666666,0.5,0.40959595959595957
24,0.9663865546218487,0.9747899159663865,0.9739895958383354,0.5,0.625,0.6130952380952381,0.3333333333333333,0.5,0.48412698412698413
25,0.9411764705882353,0.9831932773109243,0.9605042016806723,0.125,0.75,0.4125,0.0,0.6666666666666666,0.3
26,0.9663865546218487,0.9747899159663865,0.9744897959183673,0.5,0.625,0.6205357142857143,0.3333333333333333,0.5,0.49404761904761907
27,0.9411764705882353,0.9747899159663865,0.9592086834733893,0.125,0.625,0.39322916666666663,0.0,0.5,0.2743055555555555
28,0.957983193277311,0.9747899159663865,0.9701680672268908,0.375,0.625,0.55625,0.3333333333333333,0.5,0.4916666666666667
