doi,analyte,candidate_i_id,candidate_j_id,pair_label,diff__ratio_hba_part,diff__ratio_hbd_part,diff__ratio_hba_fraction,diff__ratio_hba_to_hbd,diff__analyte_hba,diff__analyte_hbd,diff__analyte_heavyatoms,diff__analyte_logp,diff__analyte_molwt,diff__analyte_ringcount,diff__analyte_rotbonds,diff__analyte_tpsa,diff__des_hba_absdiff,diff__des_hba_wmean,diff__des_hbd_absdiff,diff__des_hbd_wmean,diff__des_heavyatoms_absdiff,diff__des_heavyatoms_wmean,diff__des_logp_absdiff,diff__des_logp_wmean,diff__des_ringcount_absdiff,diff__des_ringcount_wmean,diff__des_rotbonds_absdiff,diff__des_rotbonds_wmean,diff__des_tpsa_absdiff,diff__des_tpsa_wmean,diff__hba_hba,diff__hba_hbd,diff__hba_heavyatoms,diff__hba_logp,diff__hba_ringcount,diff__hba_rotbonds,diff__hba_tpsa,diff__hbd_hba,diff__hbd_hbd,diff__hbd_heavyatoms,diff__hbd_logp,diff__hbd_ringcount,diff__hbd_rotbonds,diff__hbd_tpsa,diff__pair_hba_absdiff,diff__pair_hba_product,diff__pair_hba_ratio,diff__pair_hbd_absdiff,diff__pair_hbd_product,diff__pair_hbd_ratio,diff__pair_hbond_acceptor_donor_product,diff__pair_hbond_balance_absdiff,diff__pair_hbond_complement_sum,diff__pair_hbond_donor_acceptor_product,diff__pair_heavyatoms_absdiff,diff__pair_heavyatoms_product,diff__pair_heavyatoms_ratio,diff__pair_logp_absdiff,diff__pair_logp_match_binary,diff__pair_logp_product,diff__pair_logp_ratio,diff__pair_molwt_absdiff,diff__pair_molwt_product,diff__pair_molwt_ratio,diff__pair_ringcount_absdiff,diff__pair_ringcount_product,diff__pair_rotbonds_absdiff,diff__pair_rotbonds_product,diff__pair_rotbonds_ratio,diff__pair_tpsa_absdiff,diff__pair_tpsa_match_binary,diff__pair_tpsa_product,diff__pair_tpsa_ratio
10.1016/j.microc.2025.114807,Imazapic,Aliquat 336 || Stearic acid || 01:01,Aliquat 336 || Decanoic acid || 01:01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,4.0,-1.4928000000000035,1.5604000000000022,0.0,0.0,-8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.1208000000000053,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,80.0,-0.1745771958537915,1.5604000000000027,0.0,2.1522909280000038,-0.08321119811947389,56.10799999999995,15446.981263999987,-0.155651778081771,0.0,0.0,4.0,12.0,-0.04473438956197581,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Imazapic,Aliquat 336 || Decanoic acid || 01:01,Aliquat 336 || Stearic acid || 01:01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-4.0,1.4928000000000035,-1.5604000000000022,0.0,0.0,8.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-3.1208000000000053,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-80.0,0.1745771958537915,-1.5604000000000027,0.0,-2.1522909280000038,0.08321119811947389,-56.10799999999995,-15446.981263999987,0.155651778081771,0.0,0.0,-4.0,-12.0,0.04473438956197581,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Imazapic,Aliquat 336 || Stearic acid || 01:01,Aliquat 336 || Myristic acid || 01:01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.0,0.06759999999999877,0.7802000000000024,0.0,0.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5604000000000031,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,-0.07916872835230071,0.7802000000000029,0.0,1.0761454640000023,-0.03529679522198079,28.053999999999967,7723.490631999986,-0.07092255601482078,0.0,0.0,2.0,6.0,-0.019656019656019708,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Imazapic,Aliquat 336 || Myristic acid || 01:01,Aliquat 336 || Stearic acid || 01:01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,-0.06759999999999877,-0.7802000000000024,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-1.5604000000000031,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-40.0,0.07916872835230071,-0.7802000000000029,0.0,-1.0761454640000023,0.03529679522198079,-28.053999999999967,-7723.490631999986,0.07092255601482078,0.0,0.0,-2.0,-6.0,0.019656019656019708,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Oxyfluorfen,Aliquat 336 || Stearic acid || 01:01,Aliquat 336 || Decanoic acid || 01:01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,4.0,-1.4928000000000035,1.5604000000000022,0.0,0.0,-8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.1208000000000053,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,96.0,-0.20949263502455007,-0.6253999999999953,0.0,8.516663200000021,-0.3292685666386981,-56.10799999999995,20294.431923999975,-0.20449719981806114,0.0,0.0,4.0,20.0,-0.07455731593662629,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Oxyfluorfen,Aliquat 336 || Decanoic acid || 01:01,Aliquat 336 || Stearic acid || 01:01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-4.0,1.4928000000000035,-1.5604000000000022,0.0,0.0,8.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-3.1208000000000053,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-96.0,0.20949263502455007,0.6253999999999953,0.0,-8.516663200000021,0.3292685666386981,56.10799999999995,-20294.431923999975,0.20449719981806114,0.0,0.0,-4.0,-20.0,0.07455731593662629,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Oxyfluorfen,Aliquat 336 || Stearic acid || 01:01,Aliquat 336 || Myristic acid || 01:01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.0,0.06759999999999877,0.7802000000000024,0.0,0.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5604000000000031,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,48.0,-0.09500247402276107,0.1548000000000052,0.0,4.258331600000012,-0.1396702058416983,-28.05399999999998,10147.215961999987,-0.09317891698835035,0.0,0.0,2.0,10.0,-0.0327600327600327,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Oxyfluorfen,Aliquat 336 || Myristic acid || 01:01,Aliquat 336 || Stearic acid || 01:01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,-0.06759999999999877,-0.7802000000000024,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-1.5604000000000031,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-48.0,0.09500247402276107,-0.1548000000000052,0.0,-4.258331600000012,0.1396702058416983,28.05399999999998,-10147.215961999987,0.09317891698835035,0.0,0.0,-2.0,-10.0,0.0327600327600327,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Pyridaben,Aliquat 336 || Stearic acid || 01:01,Aliquat 336 || Decanoic acid || 01:01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,4.0,-1.4928000000000035,1.5604000000000022,0.0,0.0,-8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.1208000000000053,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,96.0,-0.20949263502455007,-0.19239999999999924,0.0,8.178836600000022,-0.31620762038049377,-56.10799999999995,20476.16573599998,-0.20632844376740822,0.0,0.0,4.0,12.0,-0.04473438956197581,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Pyridaben,Aliquat 336 || Decanoic acid || 01:01,Aliquat 336 || Stearic acid || 01:01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-4.0,1.4928000000000035,-1.5604000000000022,0.0,0.0,8.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-3.1208000000000053,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-96.0,0.20949263502455007,0.19239999999999924,0.0,-8.178836600000022,0.31620762038049377,56.10799999999995,-20476.16573599998,0.20632844376740822,0.0,0.0,-4.0,-12.0,0.04473438956197581,0.0,0.0,0.0,0.0
10.1016/j.microc.2025.114807,Pyridaben,Aliquat 336 || Stearic acid || 01:01,Aliquat 336 || Myristic acid || 01:01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.0,0.06759999999999877,0.7802000000000024,0.0,0.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5604000000000031,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,48.0,-0.09500247402276107,0.5878000000000014,0.0,4.089418300000016,-0.1341299714033095,-28.05399999999997,10238.082867999998,-0.09401332121536865,0.0,0.0,2.0,6.0,-0.019656019656019708,0.0,0.0,0.0,0.0
